# Trilegal 1.6 run queried by C. Hirata, May 16, 2016
# Stars to J=22 in 1 deg^2 at the South Galactic Pole
# Magnitudes are SDSS ugriz + UKIDSS ZYJHK
# SDSS are on approximate AB system, UKIDSS on Vega
#
# Effective wavelengths of the filters are below.
# Vega to AB offsets in UKIDSS ZYJHK are below.
# [Hewett et al.: http://www.ukidss.org/technical/photom/hewett-ukidss.pdf]
#
# The following lines of data are used to tell scripts reading this file where the information is:
#
#! col_m2/m1 = 10
#! col_first_band = 12
#! num_bands = 10
#! lambda = 0.3546, 0.4670, 0.6156, 0.7471, 0.8918, 0.8817, 1.0305, 1.2483, 1.6313, 2.2010
#! ab_offset = 0, 0, 0, 0, 0, 0.528, 0.634, 0.938, 1.379, 1.900
#
#Gc logAge [M/H] m_ini   logL   logTe logg  m-M0   Av    m2/m1 mbol   u      g      r      i      z      Z      Y      J      H      K        Mact
 1   9.25  0.41  0.07248 -3.852 3.309  5.334  9.20  0.038 0.00 23.600 39.056 32.062 28.897 26.485 24.559 24.238 22.926 21.618 20.877 20.382  0.072 
 1   9.27 -0.51  0.65132 -0.836 3.671  4.717  8.30  0.037 0.98 14.465 17.449 15.478 14.598 14.310 14.152 13.618 13.400 13.008 12.446 12.359  0.651 
 1   9.27 -0.35  0.09972 -3.051 3.462  5.281  9.80  0.038 0.00 22.198 30.808 26.377 24.575 22.792 21.876 21.393 20.821 20.177 19.671 19.395  0.100 
 1   9.27 -0.31  0.08452 -3.445 3.397  5.345 10.40  0.038 0.86 23.428 35.135 29.535 27.530 25.091 23.584 23.184 22.222 21.288 20.741 20.357  0.085 
 1   9.27 -0.15  0.25874 -1.995 3.562  5.038  8.40  0.037 0.00 18.156 23.197 20.430 19.024 18.216 17.735 17.216 16.859 16.380 15.847 15.619  0.259 
 1   9.27 -0.09  0.06739 -4.089 3.256  5.327  8.10  0.037 0.73 22.842 39.954 32.786 28.958 26.587 24.631 24.306 22.902 21.363 20.274 19.397  0.067 
 1   9.27 -0.07  0.27415 -1.962 3.560  5.024  7.40  0.036 0.00 17.075 22.142 19.386 17.993 17.151 16.652 16.133 15.771 15.288 14.756 14.527  0.274 
 1   9.27  0.01  0.17064 -2.439 3.515  5.115  6.00  0.029 0.00 16.866 22.923 19.850 18.348 17.156 16.461 15.954 15.503 14.964 14.474 14.200  0.171 
 1   9.27  0.09  0.07093 -3.936 3.292  5.339  8.30  0.037 0.00 22.910 38.796 31.847 28.420 26.056 24.105 23.789 22.426 21.021 20.183 19.624  0.071 
 1   9.27  0.15  1.01014 -0.105 3.747  4.479  7.10  0.035 0.93 11.562 13.659 12.101 11.502 11.353 11.304 10.764 10.625 10.333  9.971  9.925  1.010 
 1   9.27  0.17  0.63198 -1.069 3.623  4.745  7.20  0.035 0.80 14.214 18.359 15.906 14.698 14.167 13.845 13.319 13.015 12.560 11.925 11.794  0.632 
