# Format of source catalog file:
#
# space delimited
#
# col1: ID number
# col2: redshift, z
# col3: r_eff [in arcsec]
# col4: sigma_e [per component, Bernstein & Jarvis 2002 ellipticity convention]
#
  22057 0.0000 1.3960 0.00025
  22096 0.0000 1.1080 0.00057
  22123 0.0000 0.1820 0.01631
  22241 0.0200 0.9700 0.13138
  22333 0.0100 0.9020 0.06454
  22384 0.0510 0.1540 0.12957
  22426 0.0000 0.2840 0.13125
  22437 0.1170 1.0880 0.00220
  22453 0.0600 0.2640 0.07537
  22537 0.0200 0.5110 0.15277
  22559 0.0620 0.7020 0.04016
  22587 0.0410 0.1740 0.18504
  22603 0.0000 0.3150 0.03103
  22625 0.1650 1.0380 0.07080
  22651 0.0240 0.3650 0.03483
  22661 0.0000 0.1200 0.10249
  22811 0.0000 0.1700 0.04169
  22829 0.1590 0.3500 0.07815
  22855 0.0000 0.2500 0.00369
  22885 0.1650 0.5350 0.00705
  22913 0.0000 0.3380 0.00435
  22971 0.0000 0.4020 0.06177
  22974 0.0380 0.5700 0.14739
  23153 0.0000 0.1420 0.04352
  23188 0.0000 0.2710 0.00547
  23189 0.0000 0.5870 0.00833
  23259 0.0000 0.6490 0.00232
  23274 0.0800 0.6540 0.03390
  23334 0.1500 0.3710 0.14824
  23373 0.0000 0.4710 0.03280
  23397 0.0000 0.2560 0.00279
  23420 0.0000 0.4900 0.00137
  23453 0.0000 0.2990 0.12498
  23502 0.0000 0.2250 0.00763
  23513 0.1030 0.4230 0.00811
  23520 0.0740 0.2870 0.13267
  23589 0.0000 0.2990 0.00428
  23600 0.0000 0.5310 0.00393
  23604 0.0620 0.3590 0.04111
  23627 0.0250 1.9720 0.06308
  23635 0.0630 0.4430 0.13599
  23657 0.0740 0.3870 0.03050
  23708 0.0000 0.2470 0.00725
  23774 0.0240 0.2480 0.09956
  23845 0.0000 0.1570 0.02516
  23858 0.1750 0.2250 0.15691
  23896 0.0000 0.2010 0.02675
  24000 0.1640 0.3640 0.04308
  24073 0.0310 0.2940 0.07453
  24126 0.1360 0.4040 0.01676
  24185 0.0000 0.4020 0.01141
  24192 0.0000 0.5690 0.01566
